question,answer,label
Could chest wall rigidity be a factor in rapid death from illicit fentanyl abuse?,yes,yes
Does Paget's disease exist in India?,yes,yes
Estradiol and Antagonist Pretreatment Prior to Microdose Leuprolide in in Vitro Fertilization. Does It Improve IVF Outcomes in Poor Responders as Compared to Oral Contraceptive Pill?,no,no
Is the probability of prenatal diagnosis or termination of pregnancy different for fetuses with congenital anomalies conceived following assisted reproductive techniques?,no,no
Can APC mutation analysis contribute to therapeutic decisions in familial adenomatous polyposis?,maybe,maybe
Stretch-sensitive KCNQ1 mutation A link between genetic and environmental factors in the pathogenesis of atrial fibrillation?,yes,yes
Can calprotectin predict relapse risk in inflammatory bowel disease?,maybe,maybe
Are many colorectal cancers due to missed adenomas?,no,no
Risky sexual behavior among college students With ADHD: is the mother-child relationship protective?,yes,yes
Does microbial contamination influence the success of the hematopoietic cell transplantation outcomes?,maybe,maybe
"Is distance to provider a barrier to care for medicaid patients with breast, colorectal, or lung cancer?",no,no
Is being small for gestational age a risk factor for retinopathy of prematurity?,no,no
Is there a favorable subset of patients with prostate cancer who develop oligometastases?,yes,yes
The Prevalence of Incidentally Detected Idiopathic Misty Mesentery on Multidetector Computed Tomography: Can Obesity Be the Triggering Cause?,yes,yes
Are endometrial polyps from pre-menopausal women similar to post-menopausal women?,no,no
Orthostatic myoclonus: an underrecognized cause of unsteadiness?,yes,yes
Does limb-salvage surgery offer patients better quality of life and functional capacity than amputation?,maybe,maybe
Does skin care frequency affect the severity of incontinence-associated dermatitis in critically ill patients?,yes,yes
Adjuvant radiation of stage III thymoma: is it necessary?,no,no
Do communication disorders extend to musical messages?,yes,yes
Processing fluency effects: can the content and presentation of participant information sheets influence recruitment and participation for an antenatal intervention?,yes,yes
Is fetal gender associated with emergency department visits for asthma during pregnancy?,no,no
Fulfilling human resources development goal in West Africa: can the training of ophthalmologist diplomates be improved?,yes,yes
The clinical significance of bile duct sludge: is it different from bile duct stones?,no,no
Can medical students contribute to quality assurance programmes in day surgery?,yes,yes
Thoracic and thoracoabdominal aneurysm repair: is reimplantation of spinal cord arteries a waste of time?,yes,yes
Should lower limb fractures be treated surgically in patients with chronic spinal injuries?,yes,yes
Does minimal access major surgery in the newborn hurt less?,no,no
Do mutations causing low HDL-C promote increased carotid intima-media thickness?,no,no
Does evidence-based practice improve patient outcomes?,yes,yes
Prognosis of well differentiated small hepatocellular carcinoma--is well differentiated hepatocellular carcinoma clinically early cancer?,no,no
Is patient outcome compromised during the initial experience with robot-assisted radical cystectomy?,no,no
Is there a relationship between serum paraoxonase level and epicardial fat tissue thickness?,no,no
Does transverse apex coincide with coronal apex levels (regional or global) in adolescent idiopathic scoliosis?,no,no
Do Wound Cultures Give Information About the Microbiology of Blood Cultures in Severe Burn Patients?,yes,yes
Affect-regulated exercise intensity: does training at an intensity that feels 'good' improve physical health?,yes,yes
Adults with mild intellectual disabilities: can their reading comprehension ability be improved?,yes,yes
A patient with myelomeningocele: is untethering necessary prior to scoliosis correction?,no,no
Bony defects in chronic anterior posttraumatic dislocation of the shoulder: Is there a correlation between humeral and glenoidal lesions?,no,no
Health care for immigrants in Europe: is there still consensus among country experts about principles of good practice?,maybe,maybe
Is it better to be big?,no,no
Does partial expander deflation exacerbate the adverse effects of radiotherapy in two-stage breast reconstruction?,yes,yes
Is cardiovascular evaluation necessary prior to and during beta-blocker therapy for infantile hemangiomas?,no,no
"Do lipids, blood pressure, diabetes, and smoking confer equal risk of myocardial infarction in women as in men?",no,no
Are serum leptin levels a prognostic factor in advanced lung cancer?,no,no
Does increased use of private health care reduce the demand for NHS care?,no,no
Do dermatomyositis and polymyositis affect similar thigh muscles?,no,no
Does intra-abdominal desmoid disease affect patients with an ileal pouch differently than those with an ileorectal anastomosis?,no,no
Cardiac reoperations in octogenarians: Do they really benefit?,yes,yes
Can we predict urinary stone composition based on an analysis of microelement concentration in the hair and urine?,no,no
Preservation of the PCL when performing cruciate-retaining TKA: Is the tibial tuberosity a reliable predictor of the PCL footprint location?,yes,yes
Antral follicle assessment as a tool for predicting outcome in IVF--is it a better predictor than age and FSH?,maybe,maybe
Do healthier lifestyles lead to less utilization of healthcare resources?,no,no
"Expression of c-kit protooncogen in hepatitis B virus-induced chronic hepatitis, cirrhosis and hepatocellular carcinoma: has it a diagnostic role?",maybe,maybe
Can early second-look tympanoplasty reduce the rate of conversion to modified radical mastoidectomy?,yes,yes
Does oral α-galactosidase relieve irritable bowel symptoms?,no,no
Is year of radical prostatectomy a predictor of outcome in prostate cancer?,yes,yes
Can progression of valvar aortic stenosis be predicted accurately?,yes,yes
Immunohistochemical assessment of steroid hormone receptors in tissues of the anal canal. Implications for anal incontinence?,yes,yes
Is size-reducing ascending aortoplasty with external reinforcement an option in modern aortic surgery?,yes,yes
"Actinobaculum schaalii, a cause of urinary tract infections in children?",maybe,maybe
Is a patient's self-reported health-related quality of life a prognostic factor for survival in non-small-cell lung cancer patients?,maybe,maybe
Is grandmultiparity an independent risk factor for adverse perinatal outcomes?,yes,yes
Sternal skin conductance: a reasonable surrogate for hot flash measurement?,no,no
Serovar specific immunity to Neisseria gonorrhoeae: does it exist?,no,no
Is inhaled prophylactic heparin useful for prevention and Management of Pneumonia in ventilated ICU patients?,no,no
Should general practitioners call patients by their first names?,yes,yes
Elephant trunk in a small-calibre true lumen for chronic aortic dissection: cause of haemolytic anaemia?,yes,yes
Does the early adopter of drugs exist?,no,no
Does the familial transmission of drinking patterns persist into young adulthood?,maybe,maybe
Cardiopulmonary bypass temperature does not affect postoperative euthyroid sick syndrome?,no,no
Does lung ischemia and reperfusion have an impact on coronary flow?,yes,yes
Does insulin resistance drive the association between hyperglycemia and cardiovascular risk?,yes,yes
"Young-Burgess classification of pelvic ring fractures: does it predict mortality, transfusion requirements, and non-orthopaedic injuries?",maybe,maybe
Is it time to reconsider lobectomy in low-risk paediatric thyroid cancer?,yes,yes
Multidisciplinary breast cancer clinics. Do they work?,yes,yes
Does family practice at residency teaching sites reflect community practice?,yes,yes
Is serum total bilirubin useful to differentiate cardioembolic stroke from other stroke subtypes?,yes,yes
Nutritional assessment of gluten-free diet. Is gluten-free diet deficient in some nutrient?,yes,yes
Do family physicians know the costs of medical care?,no,no
Is (18)F-FDG a surrogate tracer to measure tumor hypoxia?,no,no
Could ADMA levels in young adults born preterm predict an early endothelial dysfunction?,yes,yes
Do somatic complaints predict subsequent symptoms of depression?,maybe,maybe
Does increasing blood pH stimulate protein synthesis in dialysis patients?,no,no
Does receipt of hospice care in nursing homes improve the management of pain at the end of life?,yes,yes
Do resident's leadership skills relate to ratings of technical skill?,yes,yes
Can myometrial electrical activity identify patients in preterm labor?,yes,yes
Does perspective-taking increase patient satisfaction in medical encounters?,maybe,maybe
Does exercise during pregnancy prevent postnatal depression?,no,no
Is pain a clinically relevant problem in general adult psychiatry?,yes,yes
Juvenile ankylosing spondylitis--is it the same disease as adult ankylosing spondylitis?,no,no
Is human cytomegalovirus infection associated with hypertension?,no,no
Contrast-enhanced MR imaging of hand and finger joints in patients with early rheumatoid arthritis: do we really need a full dose of gadobenate dimeglumine for assessing synovial enhancement at 3 T?,no,no
Are failures of anterior cruciate ligament reconstruction associated with steep posterior tibial slopes?,yes,yes
Is laparoscopic cholecystectomy safe and acceptable as a day case procedure?,yes,yes
Is aerobic workload positively related to ambulatory blood pressure?,yes,yes
Does airway surgery lower serum lipid levels in obstructive sleep apnea patients?,yes,yes
Is Bare-Metal Stent Implantation Still Justifiable in High Bleeding Risk Patients Undergoing Percutaneous Coronary Intervention?,yes,yes
Do risk calculators accurately predict surgical site occurrences?,no,no
Does high-dose radiotherapy benefit palliative lung cancer patients?,no,no
Are polymorphisms in oestrogen receptors genes associated with lipid levels in response to hormone therapy?,yes,yes
Does ultrasound imaging before puncture facilitate internal jugular vein cannulation?,maybe,maybe
Does an additional antirotation U-Blade (RC) lag screw improve treatment of AO/OTA 31 A1-3 fractures with gamma 3 nail?,no,no
Sub-classification of low-grade cerebellar astrocytoma: is it clinically meaningful?,no,no
Is intrapartum vibroacoustic stimulation an effective predictor of fetal acidosis?,yes,yes
Very high serum CA 19-9 levels: a contraindication to pancreaticoduodenectomy?,no,no
Can magnetic resonance-ultrasound fusion biopsy improve cancer detection in enlarged prostates?,yes,yes
Pulmonary valve replacement in adults late after repair of tetralogy of fallot: are we operating too late?,yes,yes
Diagnosis and follow-up in constipated children: should we use ultrasound?,yes,yes
Gadofosveset-enhanced MR angiography of carotid arteries: does steady-state imaging improve accuracy of first-pass imaging?,yes,yes
Can mandibular depiction be improved by changing the thickness of double-oblique computed tomography images?,no,no
Application of computer-aided diagnosis (CAD) in MR-mammography (MRM): do we really need whole lesion time curve distribution analysis?,no,no
Can ki-67 play a role in prediction of breast cancer patients' response to neoadjuvant chemotherapy?,yes,yes
Is plate clearing a risk factor for obesity?,yes,yes
Xanthogranulomatous cholecystitis: a premalignant condition?,no,no
The FOOTSTEP self-management foot care programme: are rheumatoid arthritis patients physically able to participate?,maybe,maybe
Can elevated troponin I levels predict complicated clinical course and inhospital mortality in patients with acute pulmonary embolism?,yes,yes
Preoperative locoregional staging of gastric cancer: is there a place for magnetic resonance imaging?,no,no
Does the treatment of amblyopia normalise subfoveal choroidal thickness in amblyopic children?,no,no
Type II supracondylar humerus fractures: can some be treated nonoperatively?,yes,yes
Does Mammographic Density have an Impact on the Margin Re-excision Rate After Breast-Conserving Surgery?,no,no
Is there a first night effect on sleep bruxism?,no,no
Do nontriploid partial hydatidiform moles exist?,no,no
Are the arginine vasopressin V1a receptor microsatellites related to hypersexuality in children with a prepubertal and early adolescent bipolar disorder phenotype?,no,no
Should cavitation in proximal surfaces be reported in cone beam computed tomography examination?,yes,yes
Does the sequence of clamp application during open abdominal aortic aneurysm surgery influence distal embolisation?,no,no
Do overweight children necessarily make overweight adults?,no,no
Nasal fractures:  is closed reduction satisfying?,yes,yes
Gynecological cancer alarm symptoms: is contact with specialist care associated with lifestyle and socioeconomic status?,yes,yes
Bactericidal activity of 3 cutaneous/mucosal antiseptic solutions in the presence of interfering substances: Improvement of the NF EN 13727 European Standard?,maybe,maybe
Does managed care enable more low income persons to identify a usual source of care?,maybe,maybe
Neck pain treatment with acupuncture: does the number of needles matter?,no,no
Could ESC (Electronic Stability Control) change the way we drive?,yes,yes
Is semi-closed endarterectomy of the superficial femoral artery combined with a short venous bypass in case of insufficient venous material an acceptable alternative for limb-threatening ischemia?,yes,yes
Does a special interest in laparoscopy affect the treatment of acute cholecystitis?,yes,yes
Can continuous physical training counteract aging effect on myoelectric fatigue?,yes,yes
Is there a relationship between homocysteine and vitiligo?,yes,yes
Does prior benign prostate biopsy predict outcome for patients treated with radical perineal prostatectomy?,yes,yes
Does oxybutynin hydrochloride cause arrhythmia in children with bladder dysfunction?,yes,yes
Does implant coating with antibacterial-loaded hydrogel reduce bacterial colonization and biofilm formation in vitro?,yes,yes
Is intensive monitoring during the first transfusion in pediatric patients necessary?,no,no
Is crime associated with over-the-counter pharmacy syringe sales?,yes,yes
Is there a discrepancy between patient and physician quality of life assessment?,yes,yes
Is delayed gastric emptying following pancreaticoduodenectomy related to pylorus preservation?,no,no
Do family physicians make good sentinels for influenza?,yes,yes
Surgical treatment of prosthetic valve endocarditis in patients with double prostheses: is single-valve replacement safe?,yes,yes
Are the GFRUP's recommendations for withholding or withdrawing treatments in critically ill children applicable?,yes,yes
Thrombosis prophylaxis in hospitalised medical patients: does prophylaxis in all patients make sense?,no,no
Do clinical variables predict pathologic radiographs in the first episode of wheezing?,no,no
"Are normally sighted, visually impaired, and blind pedestrians accurate and reliable at making street crossing decisions?",maybe,maybe
Does solid culture for tuberculosis influence clinical decision making in India?,maybe,maybe
Does histologic chorioamnionitis correspond to clinical chorioamnionitis?,yes,yes
"Regional anesthesia as compared with general anesthesia for surgery in geriatric patients with hip fracture: does it decrease morbidity, mortality, and health care costs?",no,no
Delayed peripheral facial palsy in the stapes surgery: can it be prevented?,yes,yes
Do general practice characteristics influence uptake of an information technology (IT) innovation in primary care?,no,no
Is low serum chloride level a risk factor for cardiovascular mortality?,yes,yes
Is the clinically positive axilla in breast cancer really a contraindication to sentinel lymph node biopsy?,no,no
Are complex coronary lesions more frequent in patients with diabetes mellitus?,yes,yes
Does anastomotic leakage affect functional outcome after rectal resection for cancer?,no,no
Is double-balloon enteroscopy an accurate method to diagnose small-bowel disorders?,yes,yes
Aberrant loss of dickkopf-3 in gastric cancer: can it predict lymph node metastasis preoperatively?,yes,yes
Do mossy fibers release GABA?,yes,yes
Do parents recall and understand children's weight status information after BMI screening?,maybe,maybe
Can increases in the cigarette tax rate be linked to cigarette retail prices?,no,no
Memory-provoked rCBF-SPECT as a diagnostic tool in Alzheimer's disease?,yes,yes
Can shape analysis differentiate free-floating internal carotid artery thrombus from atherosclerotic plaque in patients evaluated with CTA for stroke or transient ischemic attack?,yes,yes
MR arthrography of the shoulder: do we need local anesthesia?,no,no
Do inhaled steroids differ from cromones in terms of hospital admission rates for asthma in children?,yes,yes
Fast foods - are they a risk factor for asthma?,yes,yes
Learning needs of postpartum women: does socioeconomic status matter?,yes,yes
Do elderly patients benefit from surgery in addition to radiotherapy for treatment of metastatic spinal cord compression?,no,no
Can fractional lasers enhance transdermal absorption of topical lidocaine in an in vivo animal model?,yes,yes
Are financial incentives cost-effective to support smoking cessation during pregnancy?,yes,yes
Is high-sensitivity C-reactive protein associated with carotid atherosclerosis in healthy Koreans?,no,no
Is there a relationship between rheumatoid arthritis and periodontal disease?,yes,yes
Pituitary apoplexy: do histological features influence the clinical presentation and outcome?,yes,yes
Standardizing care in medical oncology: are Web-based systems the answer?,maybe,maybe
Is ganglionated plexi ablation during Maze IV procedure beneficial for postoperative long-term stable sinus rhythm?,no,no
Chemotherapy and survival in advanced non-small cell lung carcinoma: is pneumologists' skepticism justified?,no,no
Can tailored interventions increase mammography use among HMO women?,yes,yes
Are the elderly with oropharyngeal carcinoma undertreated?,maybe,maybe
Is Aspiration Thrombectomy Beneficial in Patients Undergoing Primary Percutaneous Coronary Intervention?,no,no
"Do ""America's Best Hospitals"" perform better for acute myocardial infarction?",yes,yes
Can p53 alterations be used to predict tumour response to pre-operative chemo-radiotherapy in locally advanced rectal cancer?,no,no
Is neck pain associated with worse health-related quality of life 6 months later?,yes,yes
Acute hepatitis C in Israel: a predominantly iatrogenic disease?,yes,yes
Does parity increase insulin resistance during pregnancy?,no,no
Can homemade alcohol (Raksi) be useful for preserving dead bodies?,yes,yes
Does the radiographic transition zone correlate with the level of aganglionosis on the specimen in Hirschsprung's disease?,no,no
Impact of MPH programs: contributing to health system strengthening in low- and middle-income countries?,yes,yes
Is gastric cancer different in Korea and the United States?,yes,yes
Body diffusion-weighted MR imaging of uterine endometrial cancer: is it helpful in the detection of cancer in nonenhanced MR imaging?,yes,yes
Does ultrasound-scored synovitis depend on the pharmacokinetics of subcutaneous anti-TNF agents in patients with rheumatoid arthritis?,no,no
Is the advanced age a contraindication to GERD laparoscopic surgery?,no,no
Is it appropriate to implant kidneys from elderly donors in young recipients?,yes,yes
Is a mandatory general surgery rotation necessary in the surgical clerkship?,no,no
Proliferative index obtained by DNA image cytometry. Does it add prognostic information in Auer IV breast cancer?,yes,yes
Prostate bed target interfractional motion using RTOG consensus definitions and daily CT on rails : Does target motion differ between superior and inferior portions of the clinical target volume?,no,no
Does the National Institutes of Health Stroke Scale favor left hemisphere strokes?,yes,yes
Identification of racial disparities in breast cancer mortality: does scale matter?,yes,yes
Does HER2 immunoreactivity provide prognostic information in locally advanced urothelial carcinoma patients receiving adjuvant M-VEC chemotherapy?,maybe,maybe
Are income-related differences in active travel associated with physical environmental characteristics?,no,no
Fragility of the esophageal mucosa: a pathognomonic endoscopic sign of primary eosinophilic esophagitis?,yes,yes
The English antibiotic awareness campaigns: did they change the public's knowledge of and attitudes to antibiotic use?,no,no
Is ankle/arm pressure predictive for cardiovascular mortality in older patients living in nursing homes?,no,no
Can third trimester ultrasound predict the presentation of the first twin at delivery?,yes,yes
Uniformity of evidence-based treatments in practice?,yes,yes
Evaluation of pediatric VCUG at an academic children's hospital: is the radiographic scout image necessary?,no,no
Is the fibronectin-aggrecan complex present in cervical disk disease?,yes,yes
Advanced epithelial ovarian carcinoma in Thai women: should we continue to offer second-look laparotomy?,no,no
Is the processing of affective prosody influenced by spatial attention?,maybe,maybe
Must early postoperative oral intake be limited to laparoscopy?,no,no
Could different follow-up modalities play a role in the diagnosis of asymptomatic endometrial cancer relapses?,maybe,maybe
Cold preparation use in young children after FDA warnings: do concerns still exist?,yes,yes
Does laparoscopic antireflux surgery improve quality of life in patients whose gastro-oesophageal reflux disease is well controlled with medical therapy?,yes,yes
Does a delay in transfer to a rehabilitation unit for older people affect outcome after fracture of the proximal femur?,yes,yes
Do French lay people and health professionals find it acceptable to breach confidentiality to protect a patient's wife from a sexually transmitted disease?,maybe,maybe
Subclavian steal syndrome: can the blood pressure difference between arms predict the severity of steal?,yes,yes
Maternal creatine homeostasis is altered during gestation in the spiny mouse: is this a metabolic adaptation to pregnancy?,yes,yes
Risk factors for avascular necrosis of bone in patients with systemic lupus erythematosus: is there a role for antiphospholipid antibodies?,no,no
Do liquid-based preparations of urinary cytology perform differently than classically prepared cases?,yes,yes
Can we measure mesopic pupil size with the cobalt blue light slit-lamp biomicroscopy method?,no,no
Do acute changes in heart rate by isoproterenol affect aortic stiffness in patients with hypertension?,no,no
Do emergency ultrasound fellowship programs impact emergency medicine residents' ultrasound education?,yes,yes
Inpatient versus outpatient management of neutropenic fever in gynecologic oncology patients: is risk stratification useful?,yes,yes
Biomechanical and wound healing characteristics of corneas after excimer laser keratorefractive surgery: is there a difference between advanced surface ablation and sub-Bowman's keratomileusis?,yes,yes
Should tumor depth be included in prognostication of soft tissue sarcoma?,no,no
Risk factors for major depression during midlife among a community sample of women with and without prior major depression: are they the same or different?,no,no
Prevalence of chronic conditions among Medicare Part A beneficiaries in 2008 and 2010: are Medicare beneficiaries getting sicker?,yes,yes
Does aerobic fitness influence microvascular function in healthy adults at risk of developing Type 2 diabetes?,maybe,maybe
Quaternary cytoreductive surgery in ovarian cancer: does surgical effort still matter?,yes,yes
Cancer of the buccal mucosa: are margins and T-stage accurate predictors of local control?,no,no
Does pretreatment with statins improve clinical outcome after stroke?,no,no
Can vitamin C prevent complex regional pain syndrome in patients with wrist fractures?,yes,yes
Is the atopy patch test with house dust mites specific for atopic dermatitis?,yes,yes
Women with synchronous primary cancers of the endometrium and ovary: do they have Lynch syndrome?,maybe,maybe
Preparing patients at high risk of falls for discharge home after rehabilitation: Do we meet the guidelines?,no,no
Some aspects of social exclusion: do they influence suicide mortality?,yes,yes
Can mental imagery functional magnetic resonance imaging predict recovery in patients with disorders of consciousness?,yes,yes
Pancreas retransplantation:  a second chance for diabetic patients?,yes,yes
"Is gastric electrical stimulation superior to standard pharmacologic therapy in improving GI symptoms, healthcare resources, and long-term health care benefits?",yes,yes
Informed consent for total hip arthroplasty: does a written information sheet improve recall by patients?,yes,yes
Pitfalls in urinary stone identification using CT attenuation values: are we getting the same information on different scanner models?,no,no
Treatment of vitamin D deficiency in CKD patients with ergocalciferol: are current K/DOQI treatment guidelines adequate?,no,no
Is there any interest to perform ultrasonography in boys with undescended testis?,no,no
The insertion allele of the ACE gene I/D polymorphism. A candidate gene for insulin resistance?,no,no
Can magnetic resonance imaging accurately predict concordant pain provocation during provocative disc injection?,yes,yes
Does obstructive sleep apnea affect aerobic fitness?,maybe,maybe
Can a Novel Surgical Approach to the Temporomandibular Joint Improve Access and Reduce Complications?,yes,yes
Treadmill testing of children who have spina bifida and are ambulatory: does peak oxygen uptake reflect maximum oxygen uptake?,yes,yes
Is minilaparoscopic inguinal hernia repair feasible?,yes,yes
Discharging patients earlier from Winnipeg hospitals: does it adversely affect quality of care?,no,no
Body dysmorphic disorder: does it have a psychotic subtype?,yes,yes
Factors determining the survival of nasopharyngeal carcinoma with lung metastasis alone: does combined modality treatment benefit?,yes,yes
Can routine offering of influenza vaccination in office-based settings reduce racial and ethnic disparities in adult influenza vaccination?,yes,yes
May mean platelet volume levels be a predictor in the diagnosis of pelvic inflammatory disease?,yes,yes
Schizophrenia patients with high intelligence: A clinically distinct sub-type of schizophrenia?,yes,yes
Does screening or surveillance for primary hepatocellular carcinoma with ultrasonography improve the prognosis of patients?,yes,yes
Is low birth weight a risk indicator for congenital cytomegalovirus infection?,no,no
"Recovery Outcome Measures: Is There a Place for Culture, Attitudes, and Faith?",yes,yes
Landolt C and snellen e acuity: differences in strabismus amblyopia?,no,no
Can distal ureteral diameter predict reflux resolution after endoscopic injection?,yes,yes
Intravenous administration of metoclopramide by 2 min bolus vs 15 min infusion: does it affect the improvement of headache while reducing the side effects?,yes,yes
Are Reviewers' Scores Influenced by Citations to Their Own Work?,yes,yes
Is the Distance Worth It?,yes,yes
Cholestasis associated with small bowel atresia: do we always need to investigate?,no,no
Is aneurysm repair justified for the patients aged 80 or older after aneurysmal subarachnoid hemorrhage?,yes,yes
CPAP therapy in patients with idiopathic pulmonary fibrosis and obstructive sleep apnea: does it offer a better quality of life and sleep?,maybe,maybe
Does head positioning influence anterior chamber depth in pseudoexfoliation syndrome?,yes,yes
Do hospitals provide lower quality care on weekends?,yes,yes
Appendectomy timing: Will delayed surgery increase the complications?,no,no
Assessing Patient Reported Outcomes Measures via Phone Interviews Versus Patient Self-Survey in the Clinic: Are We Measuring the Same Thing?,yes,yes
Is Panton-Valentine leucocidin associated with the pathogenesis of Staphylococcus aureus bacteraemia in the UK?,maybe,maybe
Do preoperative statins reduce atrial fibrillation after coronary artery bypass grafting?,yes,yes
Estimated fetal weight by ultrasound: a modifiable risk factor for cesarean delivery?,yes,yes
Can we ease the financial burden of colonoscopy?,yes,yes
Outcome Feedback within Emergency Medicine Training Programs: An Opportunity to Apply the Theory of Deliberate Practice?,maybe,maybe
Does open access endoscopy close the door to an adequately informed patient?,yes,yes
Dementia and aphasia in motor neuron disease: an underrecognised association?,yes,yes
Prompting Primary Care Providers about Increased Patient Risk As a Result of Family History: Does It Work?,no,no
Are hepatitis G virus and TT virus involved in cryptogenic chronic liver disease?,no,no
Does β-catenin have a role in pathogenesis of sebaceous cell carcinoma of the eyelid?,yes,yes
Can EMS Providers Provide Appropriate Tidal Volumes in a Simulated Adult-sized Patient with a Pediatric-sized Bag-Valve-Mask?,yes,yes
Can communication with terminally ill patients be taught?,yes,yes
Is trabecular bone related to primary stability of miniscrews?,yes,yes
Esophagogastric devascularization without splenectomy in portal hypertension: safe and effective?,yes,yes
Do oblique views add value in the diagnosis of spondylolysis in adolescents?,no,no
Is Overexpression of Ki-67 a Prognostic Biomarker of Upper Tract Urinary Carcinoma?,yes,yes
Are patients with serious mental illness more likely to be admitted to nursing homes with more deficiencies in care?,yes,yes
Is lumbar drainage of postoperative cerebrospinal fluid fistula after spine surgery effective?,yes,yes
Does left atrial appendage (LAA) occlusion device alter the echocardiography and electrocardiogram parameters in patients with atrial fibrillation?,yes,yes
Has the 80-hour workweek improved surgical resident education in New England?,no,no
Is severe pain immediately after spinal augmentation a predictor of long-term outcomes?,no,no
Diffusion-weighted echo-planar MR imaging of primary parotid gland tumors: is a prediction of different histologic subtypes possible?,yes,yes
Is external palliative radiotherapy for gallbladder carcinoma effective?,yes,yes
Is withdrawal-induced anxiety in alcoholism based on beta-endorphin deficiency?,yes,yes
Does the central venous pressure predict fluid responsiveness?,no,no
Can common carotid intima media thickness serve as an indicator of both cardiovascular phenotype and risk among black Africans?,yes,yes
Do patients with localized prostate cancer treatment really want more aggressive treatment?,no,no
Should HIV-infected patients be screened for silent myocardial ischaemia using gated myocardial perfusion SPECT?,maybe,maybe
"Are lifetime prevalence of impetigo, molluscum and herpes infection really increased in children having atopic dermatitis?",maybe,maybe
Cue-induced behavioural activation: a novel model of alcohol craving?,yes,yes
Is the type of remission after a major depressive episode an important risk factor to relapses in a 4-year follow up?,yes,yes
Sternal plating for primary and secondary sternal closure; can it improve sternal stability?,yes,yes
Can PRISM predict length of PICU stay?,no,no
Do cytokines have any role in epilepsy?,yes,yes
Can nonproliferative breast disease and proliferative breast disease without atypia be distinguished by fine-needle aspiration cytology?,no,no
Is prophylactic fixation a cost-effective method to prevent a future contralateral fragility hip fracture?,maybe,maybe
Do socioeconomic differences in mortality persist after retirement?,yes,yes
Should pulp chamber pulpotomy be seen as a permanent treatment?,no,no
Acute respiratory distress syndrome in children with malignancy--can we predict outcome?,yes,yes
Digital Tomosynthesis: A Viable Alternative to Noncontrast Computed Tomography for the Follow-Up of Nephrolithiasis?,yes,yes
Cardiogenic shock complicating acute myocardial infarction in elderly patients: does admission to a tertiary center improve survival?,no,no
Does blood pressure change in treated hypertensive patients depending on whether it is measured by a physician or a nurse?,yes,yes
Are acceptance rates of a national preventive home visit programme for older people socially imbalanced?,yes,yes
Pertrochanteric fractures: is there an advantage to an intramedullary nail?,no,no
Does reducing spasticity translate into functional benefit?,yes,yes
Empiric treatment of uncomplicated urinary tract infection with fluoroquinolones in older women in Israel: another lost treatment option?,maybe,maybe
Is diffusion-weighted imaging a significant indicator of the development of vascularization in hypovascular hepatocellular lesions?,no,no
Undescended testes: does age at orchiopexy affect survival of the testis?,no,no
Is the affinity column-mediated immunoassay method suitable as an alternative to the microparticle enzyme immunoassay method as a blood tacrolimus assay?,yes,yes
Does timing of initial surfactant treatment make a difference in rates of chronic lung disease or mortality in premature infants?,maybe,maybe
Preoperative staging of patients with liver metastases of colorectal carcinoma. Does PET/CT really add something to multidetector CT?,no,no
Is oral endotracheal intubation efficacy impaired in the helicopter environment?,yes,yes
Is decompressive surgery effective for spinal cord sarcoidosis accompanied with compressive cervical myelopathy?,no,no
Are women with major depression in pregnancy identifiable in population health data?,no,no
Is a pressor necessary during aortic perfusion and oxygenation therapy of cardiac arrest?,yes,yes
Did the call for boycott by the Catholic bishops affect the polio vaccination coverage in Kenya in 2015?,no,no
Is dexamethasone an effective alternative to oral prednisone in the treatment of pediatric asthma exacerbations?,yes,yes
Kell alloimmunization in pregnancy: associated with fetal thrombocytopenia?,no,no
Is Chaalia/Pan Masala harmful for health?,yes,yes
Will clinical studies elucidate the connection between the length of storage of transfused red blood cells and clinical outcomes?,no,no
Upstream solutions: does the supplemental security income program reduce disability in the elderly?,yes,yes
Autoxidation products of both carbohydrates and lipids are increased in uremic plasma: is there oxidative stress in uremia?,yes,yes
An HIV1/2 point of care test on sputum for screening TB/HIV co-infection in Central India - Will it work?,yes,yes
Can infundibular height predict the clearance of lower pole calyceal stone after extracorporeal shockwave lithotripsy?,yes,yes
Is pelvic pain associated with defecatory symptoms in women with pelvic organ prolapse?,yes,yes
Israeli hospital preparedness for terrorism-related multiple casualty incidents: can the surge capacity and injury severity distribution be better predicted?,yes,yes
Does sonographic needle guidance affect the clinical outcome of intraarticular injections?,yes,yes
Is there any relationship between streptococcal infection and multiple sclerosis?,yes,yes
"""Would a man smell a rose then throw it away?",maybe,maybe
The effect of an intracerebroventricular injection of metformin or AICAR on the plasma concentrations of melatonin in the ewe: potential involvement of AMPK?,yes,yes
Is fetal anatomic assessment on follow-up antepartum sonograms clinically useful?,yes,yes
Steroids in aminoglycoside-containing ear drops: do they reduce cochlear toxicity?,yes,yes
Assessment of appropriate antimicrobial prescribing: do experts agree?,yes,yes
